timestamps,agg_signal,p300_signal_id
15:12.9,1.4791519000000002,p300_sig_id_0
15:12.9,1.4791519000000002,p300_sig_id_0
15:12.9,1.4791519000000002,p300_sig_id_0
15:12.9,1.4791519000000002,p300_sig_id_0
15:12.9,1.4791519000000002,p300_sig_id_0
15:13.0,1.4791519000000002,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.0,1.48782556,p300_sig_id_0
15:13.1,1.48782556,p300_sig_id_0
15:13.1,1.48782556,p300_sig_id_0
15:13.1,1.48782556,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4911173,p300_sig_id_0
15:13.1,1.4930587,p300_sig_id_0
15:13.1,1.4930587,p300_sig_id_0
15:13.1,1.4930587,p300_sig_id_0
15:13.1,1.4930587,p300_sig_id_0
15:13.1,1.4930587,p300_sig_id_0
15:13.1,1.4930587,p300_sig_id_0
15:13.1,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
15:13.2,1.4930587,p300_sig_id_0
